Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2009-11-01 00:00:00+01:00,113.01466369628906,159.36084532326564,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-12-01 00:00:00+01:00,108.93047332763672,153.60176939167968,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-01-01 00:00:00+01:00,119.92221069335938,169.10110815784375,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-02-01 00:00:00+01:00,118.55167388916016,167.16852793753907,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-03-01 00:00:00+01:00,128.58399963378906,181.31500998626564,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-04-01 00:00:00+02:00,127.29570007324219,179.49839167954687,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-05-01 00:00:00+02:00,126.03662109375,177.7229770215,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-06-01 00:00:00+02:00,122.2104721069336,172.32776265789843,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-07-01 00:00:00+02:00,128.899169921875,181.75942845275,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-08-01 00:00:00+02:00,137.0616455078125,193.269253521125,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-09-01 00:00:00+02:00,138.36537170410156,195.10762477239064,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-10-01 00:00:00+02:00,133.4338836669922,188.15378288504687,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-11-01 00:00:00+01:00,134.56756591796875,189.7523768721875,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2010-12-01 00:00:00+01:00,126.97187805175781,179.04177349045312,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-01-01 00:00:00+01:00,119.94310760498047,169.1305746836172,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-02-01 00:00:00+01:00,117.33564758300781,165.45382142295313,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-03-01 00:00:00+01:00,118.80944061279297,167.53200221274219,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-04-01 00:00:00+02:00,121.02010345458984,170.64923574396093,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-05-01 00:00:00+02:00,135.75692749023438,191.42948371259374,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-06-01 00:00:00+02:00,129.1259307861328,182.07918167620312,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2011-07-01 00:00:00+02:00,127.34980010986328,179.57467759932032,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
