Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2007-06-01 00:00:00-04:00,10.257288932800293,2.9400262122306824,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-07-01 00:00:00-04:00,10.485770225524902,3.005515348201752,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-08-01 00:00:00-04:00,10.983540534973145,3.1481902564582827,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-09-01 00:00:00-04:00,10.756082534790039,3.0829944247817993,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-10-01 00:00:00-04:00,10.302123069763184,2.9528769312400818,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-11-01 00:00:00-04:00,10.060824394226074,2.883713974468231,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2007-12-01 00:00:00-05:00,9.638166427612305,2.76256836681366,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-01-01 00:00:00-05:00,9.232134819030762,2.646188338909149,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-02-01 00:00:00-05:00,7.312703609466553,2.096025610174179,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-03-01 00:00:00-05:00,7.149713516235352,2.0493080857315062,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-04-01 00:00:00-04:00,7.898414611816406,2.2639067833557127,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-05-01 00:00:00-04:00,8.009485244750977,2.2957427367324827,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2008-06-01 00:00:00-04:00,7.1799211502075195,2.057966439441681,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
