Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2003-11-01 00:00:00+01:00,781.8217163085938,0.7623191735952759,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2003-12-01 00:00:00+01:00,767.6609497070312,0.7485116473165894,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-01-01 00:00:00+01:00,814.614990234375,0.7942944193029785,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-02-01 00:00:00+01:00,853.370849609375,0.8320835137658691,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-03-01 00:00:00+01:00,836.97412109375,0.8160958016430664,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-04-01 00:00:00+02:00,961.4395141601562,0.9374564054794311,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-05-01 00:00:00+02:00,912.9948120117188,0.8902201564260864,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-06-01 00:00:00+02:00,990.6755981445312,0.9659631953488159,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-07-01 00:00:00+02:00,1054.7117919921875,1.0284020063409425,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-08-01 00:00:00+02:00,1107.447021484375,1.0798217555334473,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-09-01 00:00:00+02:00,1081.07958984375,1.0541120594750977,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2004-10-01 00:00:00+02:00,1100.6668701171875,1.0732107350421143,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
